company,revenues_rank,profit_rank,networth_rank,assets_rank,fsi_rank
Ind-SwiftLab,742,905,657,350,987
KECInternational,104,226,257,232,350
Madhucon Projects,338,788,981,150,872
Infinite ComputerSolutions,397,278,370,568,95
KG Denim,762,769,901,921,591
Madras Fertilizers,405,909,978,682,841
Info Edge (India),661,570,312,433,559
KPR Mills,283,217,325,375,282
Mafatlal Ind,563,571,581,714,529
Infosys,18,6,8,33,36
Kajaria Ceramics,327,214,406,521,128
MTNL,199,997,184,60,941
Ingersoll-Rand,753,386,320,534,274
Kalpataru PowerTrans,126,264,181,157,646
Maharaja Shree Umaid,873,845,849,719,843
InoxLeisure,580,594,408,547,512
Kalyani Steels,509,330,492,595,249
Maharashtra Seamless,455,270,163,225,547
InoxWind,256,155,247,323,525
Kamdhenu Ispat,588,690,851,931,575
Mahindra & Mahindra,16,25,36,17,553
Insectcides,567,413,654,671,570
Kanoria Chemicals,810,652,491,569,723
Mahindra CIE Automotive,148,887,193,226,312
IntellectDesign Arena,874,883,466,708,546
Kansai Nerolac,211,161,218,392,18
Mahindra Holidays,658,338,394,314,576
InterGlobe Aviation,62,53,533,132,289
KarurKCP Pkg,680,676,789,633,820
Mahindra Lifespace,537,163,249,277,637
Intl Pap APPM,531,772,537,553,542
Kaveri Seed Co,526,153,384,603,99
Maithan Alloys,550,425,623,703,301
IOLChem & Pharma,942,880,734,673,943
KCP Sugar& Inds,958,813,704,838,520
Man Ind,465,435,489,522,530
Ion Exchange,667,669,800,896,371
KDDL,904,683,924,949,753
Man Infraconstruction,984,451,422,585,798
Ipca Labs,235,170,165,259,185
KEI Ind,346,513,642,604,316
Manaksia,541,292,294,459,366
IRB Infrastructure,198,94,96,42,773
Kennametal India,796,520,584,804,136
Manali Petrochem,703,462,693,902,100
ISGECHeavy Eng,193,269,366,394,130
Kesoram Ind,157,951,866,184,800
Mandhana Inds,402,331,435,422,550
ISMT,432,926,922,354,925
Kewal Kiran,930,384,621,836,244
Mangalam Cement,598,613,471,517,581
ITC,25,8,21,47,53
Khaitan Electricals,917,865,912,821,957
Mangalore Chem,271,497,441,376,454
ITD Cementation,382,600,448,453,694
KICMetaliks,906,752,913,959,682
MRPL,19,992,91,64,557
ITI,637,945,996,310,981
Kiri Industries,618,211,513,469,929
Maral Overseas,748,620,881,865,647
IVRCL,201,988,433,101,954
KirloskarBrothers,265,479,309,421,198
Marico,141,91,203,324,34
JB Chem & Pharma,524,300,313,488,216
KirloskarElectric,932,939,964,977,879
Marksans Pharma,670,283,585,738,261
JKCement,220,241,217,189,635
KirloskarFerrous,468,442,505,683,219
Maruti Suzuki,21,21,26,56,6
